Time, Latitude, Longitude, SoilHumidity, TempSoil, Conductivity, PH, Nitrogen, Phosphorus, Potassium, Salinity, TotalDissolvedSolids, AirHum, Airpress, Airtemp, Co2, light
2025-03-04 17:32:03, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:08, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:13, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:18, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:23, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:28, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:33, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:38, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:43, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:48, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:53, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:32:58, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:03, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:08, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:13, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:18, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:23, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:28, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:33, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:38, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:43, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:48, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:53, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:33:58, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:03, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:10, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:15, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:20, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:25, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:30, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:35, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:40, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:45, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:50, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:34:55, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:00, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:05, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
